movie_name,message_id,channel_id
Mandala Murders,3,-1003181705395
Mandala Murders,6,-1003181705395
Mandala Murders,7,-1003181705395
Mandala Murders,8,-1003181705395
Mandala Murders,11,-1003181705395
Mandala Murders,13,-1003181705395
Mandala Murders,14,-1003181705395
Zebra 2024,9,-1003181705395
Zebra 2024,10,-1003181705395
Zebra 2024,11,-1003181705395
Zebra 2024,12,-1003181705395
Zebra 2024,13,-1003181705395
Zebra 2024,14,-1003181705395
Zebra 2024,21,-1003251791991
Zebra 2024,22,-1003251791991
Zebra 2024,23,-1003251791991
Zebra 2024,25,-1003251791991
Zebra,21,-1003181705395
Zebra,23,-1003181705395
Zebra,24,-1003181705395
Show Time 2025,15,-1003181705395
Show Time 2025,16,-1003181705395
Show Time 2025,17,-1003181705395
Show Time 2025,18,-1003181705395
Show Time 2025,19,-1003181705395
Show Time 2025,20,-1003181705395
Show Time 2025,26,-1003251791991
Show Time 2025,27,-1003251791991
Show Time 2025,28,-1003251791991
Show Time 2025,29,-1003251791991
Show Time 2025,30,-1003251791991
Show Time,26,-1003181705395
Show Time,27,-1003181705395
Show Time,28,-1003181705395
Taskaree: The Smugglers Web (2026),31,-1003251791991
Taskaree: The Smugglers Web (2026),32,-1003251791991
Taskaree: The Smugglers Web (2026),33,-1003251791991
Andhadhun (2018),34,-1003251791991
Andhadhun (2018),35,-1003251791991
Andhadhun (2018),36,-1003251791991
Andhadhun (2018),37,-1003251791991
Andhadhun (2018),38,-1003251791991
Andhadhun (2018),39,-1003251791991
Andhadhun (2018),40,-1003251791991
Andhadhun (2018),41,-1003251791991
Andhadhun (2018),42,-1003251791991
Andhadhun (2018),43,-1003251791991
Andhadhun (2018),44,-1003251791991
Andhadhun (2018),45,-1003251791991
Andhadhun (2018),46,-1003251791991
Andhadhun (2018),47,-1003251791991
Anyaa 2025 S01,48,-1003251791991
Anyaa 2025 S01,49,-1003251791991
Anyaa 2025 S01,50,-1003251791991
Rangeen 2025 S01,51,-1003251791991
Rangeen 2025 S01,52,-1003251791991
Rangeen 2025 S01,53,-1003251791991
Bachhala Malli 2024,41,-1003251791991
Bachhala Malli 2024,42,-1003251791991
Bachhala Malli 2024,43,-1003251791991
Bachhala Malli 2024,44,-1003251791991
Bachhala Malli 2024,45,-1003251791991
Bachhala Malli 2024,46,-1003251791991
Bachhala Malli 2024,47,-1003251791991
Bachhala Malli 2024,54,-1003251791991
Bachhala Malli 2024,55,-1003251791991
Bachhala Malli 2024,56,-1003251791991
Bachhala Malli,30,-1003181705395
